country_code,service_class,nearest_total_ms,service_total_ms,total_improve_ms,total_improve_pct,nearest_sat_ms,service_sat_ms,sat_improve_pct,nearest_gnd_ms,service_gnd_ms,gnd_improve_pct,n
CL,generative_ai,12.413050609353249,12.413050609353249,0.0,0.0,8.853050609353248,8.853050609353248,0.0,3.56,3.56,0.0,48
CL,messaging,28.29305060935325,27.94340345729925,0.34964715205400054,1.2358057704050214,8.853050609353248,13.067986790632583,-47.609986289090614,19.44,14.875416666666668,23.480366941015088,48
CL,music_audio,12.413050609353249,12.413050609353249,0.0,0.0,8.853050609353248,8.853050609353248,0.0,3.56,3.56,0.0,48
CL,news,63.27305060935325,58.37503893991767,4.898011669435576,7.741070838635262,8.853050609353248,17.691705606584343,-99.83739376676617,54.42,40.68333333333333,25.24194536322431,48
CL,social_media,28.29305060935325,27.94340345729925,0.34964715205400054,1.2358057704050214,8.853050609353248,13.067986790632583,-47.609986289090614,19.44,14.875416666666668,23.480366941015088,48
CL,video_streaming,12.413050609353249,12.413050609353249,0.0,0.0,8.853050609353248,8.853050609353248,0.0,3.56,3.56,0.0,48
CO,ecommerce,57.410301743690226,50.1065200896195,7.303781654070725,12.722075014826864,29.550838163538337,36.022487939492926,-21.900054882164774,27.85946358015189,14.084032150126573,49.44614741196755,48
CO,financial_services,58.81214832876822,52.650263797105524,6.161884531662693,10.477230821797034,29.550838163538337,38.40110670898292,-29.949297872588254,29.261310165229883,14.249157088122605,51.303762518964916,48
CO,gaming,57.410301743690226,50.1065200896195,7.303781654070725,12.722075014826864,29.550838163538337,36.022487939492926,-21.900054882164774,27.85946358015189,14.084032150126573,49.44614741196755,48
CO,general_web,64.67671857712618,55.268913406810135,9.407805170316045,14.545891284044282,29.550838163538337,37.50137888129016,-26.9046200102767,35.12588041358785,17.767534525519977,49.4175396707013,48
CO,generative_ai,58.81214832876822,52.650263797105524,6.161884531662693,10.477230821797034,29.550838163538337,38.40110670898292,-29.949297872588254,29.261310165229883,14.249157088122605,51.303762518964916,48
CO,messaging,56.00845515861223,46.949562190074154,9.058892968538075,16.17415253265581,29.550838163538337,36.09247249385084,-22.136882528035972,26.45761699507389,10.857089696223317,58.96421927097673,48
CO,music_audio,58.81214832876822,52.650263797105524,6.161884531662693,10.477230821797034,29.550838163538337,38.40110670898292,-29.949297872588254,29.261310165229883,14.249157088122605,51.303762518964916,48
CO,news,79.2095522439981,55.09524604185984,24.114306202138266,30.443684529179325,29.550838163538337,50.765871041859846,-71.79164516726952,49.658714080459774,4.329375,91.28174162346349,48
CO,social_media,56.00845515861223,46.949562190074154,9.058892968538075,16.17415253265581,29.550838163538337,36.09247249385084,-22.136882528035972,26.45761699507389,10.857089696223317,58.96421927097673,48
CO,video_streaming,58.81214832876822,52.650263797105524,6.161884531662693,10.477230821797034,29.550838163538337,38.40110670898292,-29.949297872588254,29.261310165229883,14.249157088122605,51.303762518964916,48
DE,ecommerce,17.22701977363227,15.752601317958666,1.4744184556736055,8.558755228982525,7.776507163155249,9.43222158794166,-21.29123512714183,9.450512610477022,6.320379730017007,33.12130261579556,672
DE,financial_services,23.153870145075746,18.044121612815474,5.109748532260273,22.068658501770987,7.776507163155249,11.851604871744046,-52.40267414523105,15.377362981920497,6.192516741071429,59.729657494902696,672
DE,gaming,17.22701977363227,15.752601317958666,1.4744184556736055,8.558755228982525,7.776507163155249,9.43222158794166,-21.29123512714183,9.450512610477022,6.320379730017007,33.12130261579556,672
DE,general_web,22.097912526671585,20.957779381762656,1.1401331449089298,5.1594608474118075,7.776507163155249,8.388020571294025,-7.8635998824266435,14.321405363516336,12.569758810468631,12.230968320399686,672
DE,generative_ai,23.153870145075746,18.044121612815474,5.109748532260273,22.068658501770987,7.776507163155249,11.851604871744046,-52.40267414523105,15.377362981920497,6.192516741071429,59.729657494902696,672
DE,messaging,11.300169402188793,11.12921076877216,0.17095863341663353,1.5128855801358128,7.776507163155249,7.801119782377601,-0.3164996663150448,3.5236622390335444,3.328090986394558,5.550226990332275,672
DE,music_audio,23.153870145075746,18.044121612815474,5.109748532260273,22.068658501770987,7.776507163155249,11.851604871744046,-52.40267414523105,15.377362981920497,6.192516741071429,59.729657494902696,672
DE,news,31.83969803275021,30.942838166762552,0.8968598659876577,2.816797650106953,7.776507163155249,8.191479039778427,-5.336224450345737,24.063190869594962,22.751359126984124,5.451611757227106,672
DE,social_media,11.300169402188793,11.12921076877216,0.17095863341663353,1.5128855801358128,7.776507163155249,7.801119782377601,-0.3164996663150448,3.5236622390335444,3.328090986394558,5.550226990332275,672
DE,video_streaming,23.153870145075746,18.044121612815474,5.109748532260273,22.068658501770987,7.776507163155249,11.851604871744046,-52.40267414523105,15.377362981920497,6.192516741071429,59.729657494902696,672
ES,ecommerce,28.580287881409923,28.293788527912838,0.286499353497085,1.0024369057648255,7.745287881409923,9.663069591900932,-24.760625297014823,20.835,18.630718936011906,10.57970273092438,96
ES,financial_services,32.125287881409925,31.450881809229582,0.6744060721803429,2.099299700192272,7.745287881409923,14.803694309229583,-91.1316213921641,24.38,16.647187499999998,31.71785274815423,96
ES,gaming,28.580287881409923,28.293788527912838,0.286499353497085,1.0024369057648255,7.745287881409923,9.663069591900932,-24.760625297014823,20.835,18.630718936011906,10.57970273092438,96
ES,general_web,32.957510103632146,32.817813235874404,0.13969686775774193,0.423869604586259,7.745287881409923,8.295230770596625,-7.10035440395525,25.212222222222223,24.52258246527778,2.735339038605615,96
ES,generative_ai,32.125287881409925,31.450881809229582,0.6744060721803429,2.099299700192272,7.745287881409923,14.803694309229583,-91.1316213921641,24.38,16.647187499999998,31.71785274815423,96
ES,messaging,25.03528788140992,22.446967559596956,2.588320321812965,10.33868807130808,7.745287881409923,12.044780059596956,-55.51107000821214,17.29,10.4021875,39.83697223828803,96
ES,music_audio,32.125287881409925,31.450881809229582,0.6744060721803429,2.099299700192272,7.745287881409923,14.803694309229583,-91.1316213921641,24.38,16.647187499999998,31.71785274815423,96
ES,news,41.71195454807659,41.60543910392996,0.1065154441466305,0.2553595133593233,7.745287881409923,8.295230770596625,-7.10035440395525,33.96666666666667,33.310208333333335,1.9326545632973497,96
ES,social_media,25.03528788140992,22.446967559596956,2.588320321812965,10.33868807130808,7.745287881409923,12.044780059596956,-55.51107000821214,17.29,10.4021875,39.83697223828803,96
ES,video_streaming,32.125287881409925,31.450881809229582,0.6744060721803429,2.099299700192272,7.745287881409923,14.803694309229583,-91.1316213921641,24.38,16.647187499999998,31.71785274815423,96
GB,ecommerce,28.781466260751206,20.606528764262617,8.174937496488589,28.403478205127485,8.458646452252115,15.568658685123005,-84.05614625231024,20.32281980849909,5.03787007913961,75.21077229138866,528
GB,financial_services,34.40711621180889,22.09628352618016,12.310832685628732,35.77990265107868,8.458646452252115,16.145743753452887,-90.87857430374197,25.948469759556772,5.950539772727272,77.06785861414545,528
GB,gaming,28.781466260751206,20.606528764262617,8.174937496488589,28.403478205127485,8.458646452252115,15.568658685123005,-84.05614625231024,20.32281980849909,5.03787007913961,75.21077229138866,528
GB,general_web,37.50111290881798,26.16096449368256,11.34014841513542,30.23949833891172,8.458646452252115,14.588816469542348,-72.472233612011,29.042466456565865,11.572148024140212,60.15438963682094,528
GB,generative_ai,34.40711621180889,22.09628352618016,12.310832685628732,35.77990265107868,8.458646452252115,16.145743753452887,-90.87857430374197,25.948469759556772,5.950539772727272,77.06785861414545,528
